date,kigo,origin,season
01-01,初空,元日の朝の空。新年の光を最初に受け止める、清らかで澄み渡った空の色を指します。,新年
01-02,若水,元日の朝に初めて汲む水。一年の邪気を払い、福を呼び込むとされる清らかな水です。,新年
01-03,三日,正月の三日間のこと。新年の挨拶を交わし、穏やかな祝祭の余韻を楽しむ時間です。,新年
01-04,四日,三が日が過ぎ、日常の気配が戻り始める日。賑やかさの後の静かな始動を感じさせます。,新年
01-05,寒入り,小寒の日。いよいよ本格的な冬の寒さが始まり、身が引き締まる季節の節目です。,冬
01-06,寒九の雨,寒入りから九日目に降る雨。この時期の雨は豊作の兆しとも言われ、慈しみの雨とされます。,冬
01-07,七草,人日の節句。七草粥を食べて一年の無病息災を祈り、正月のご馳走で疲れた胃を労わります。,新年
01-08,寒四郎,寒入りから四日目のこと。この日の天候がその年の農作を占う大切な節目とされてきました。,冬
01-09,宵戎,十日戎の前夜。商売繁盛を願うお囃子が聞こえ、街が活気づき始める冬の夜です。,冬
01-10,初春,新しい年の始まりを寿ぐ言葉。厳しい寒さの中に、微かな春の足音を心で感じる響きです。,新年
01-11,鏡開き,年神様にお供えした鏡餅を下げていただく行事。無病息災を願い、家族の絆を深めます。,新年
01-12,冬の虹,冬の空に儚く現れる虹。夏のものより色が薄く、消えやすいその姿に冬の美しさが宿ります。,冬
01-13,寒中,小寒から大寒を過ぎ、立春の前日までの期間。一年で最も寒さが厳しく、静かな季節です。,冬
01-14,飾納,正月の注連飾りなどを取り外す日。新年の神様を見送り、日常へと戻る節目の日です。,新年
01-15,小正月,一月十五日のこと。小豆粥を食べたり、餅花を飾ったりして、家庭的な正月を祝います。,新年
01-16,藪入り,奉公人が休みを得て実家へ帰る日。かつての人々の再会の喜びと、束の間の休息を表します。,新年
01-17,冬至梅,梅の中でも特に早く、冬のうちに咲き始める梅。冷たい空気の中で凛と咲く姿に心打たれます。,冬
01-18,寒稽古,寒中に武道や芸事の修練に励むこと。厳しい環境で自分を律する、精神の強さを指します。,冬
01-19,冬牡丹,寒さから守るために藁の囲いを施された牡丹。雪の中で気高く咲く姿は、冬の芸術のようです。,冬
01-20,大寒,二十四節気の一つ。一年で最も寒さが極まる頃ですが、ここを過ぎれば春が近いことを示します。,冬
01-21,寒雀,冬の寒さに耐えて丸くふくらんでいる雀。寄り添い合って生きる小さな命に愛しさを感じます。,冬
01-22,氷,冬の朝、水面に張る透明な層。光を反射して輝く姿は、静寂な冬の朝を象徴する光景です。,冬
01-23,霜柱,地面の水分が凍ってできる柱。踏むとサクッという音がし、冬の朝の訪れを教えてくれます。,冬
01-24,寒の月,凍てつくような冬の夜空に輝く月。その光は鋭く澄み渡り、地上のすべてを静かに照らします。,冬
01-25,鷽替え,太宰府天満宮などで、一年の嘘を真に替えるという祈願行事。幸運への願いが込められています。,新年
01-26,雪間,降り積もった雪が少しずつ解け、地面が顔を出す場所。春を待つ草木の息吹が隠れています。,冬
01-27,寒紅梅,冬の寒さの中で、紅色の花を咲かせる梅。モノトーンの冬景色に差す鮮やかな彩りです。,冬
01-28,初不動,一年で最初の不動明王の縁日。力強い守護を願い、新しい一年の無事を祈る日です。,新年
01-29,雪の果,冬の終わりに降る、その年最後の雪のこと。名残惜しさと共に、春への期待が膨らみます。,冬
01-30,寒波,押し寄せる強い寒気。窓を叩く風の音を聞きながら、暖かな部屋で春を待つ静かな時間です。,冬
01-31,春隣,すぐそこまで春が来ている気配。厳しい寒さの奥底に、生命が目覚める予感を感じます。,冬
